patch_name,edits_count,full_timings_ms,incremental_timings_ms,same,full_nodes,full_edges,incremental_nodes,incremental_edges,lines_changed,file_size_bytes,commit_hash,file_path
132b86dc_lib_common__arrows.c,0,708,0,2,14590,34548,0,0,0,45142,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/common//arrows.c
132b86dc_cmd_smyrna_gui__appmouse.c,0,47,0,2,1282,2646,0,0,0,3613,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/smyrna/gui//appmouse.c
132b86dc_plugin_quartz__gvtextlayout_quartz.c,0,30,0,2,748,1576,0,0,0,3190,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/quartz//gvtextlayout_quartz.c
132b86dc_cmd_smyrna_gui__callbacks.c,0,28,0,2,860,1700,0,0,0,3462,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/smyrna/gui//callbacks.c
132b86dc_cmd_smyrna_gui__datalistcallbacks.c,0,8,0,2,308,573,0,0,0,1401,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/smyrna/gui//datalistcallbacks.c
132b86dc_plugin_rsvg__gvloadimage_rsvg.c,0,31,0,2,818,1665,0,0,0,3358,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/rsvg//gvloadimage_rsvg.c
132b86dc_plugin_rsvg__gvplugin_rsvg.c,0,2,0,2,88,162,0,0,0,862,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/rsvg//gvplugin_rsvg.c
132b86dc_lib_expr__exzero.c,0,2,0,2,101,186,0,0,0,877,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/expr//exzero.c
132b86dc_plugin_core__gvrender_core_json.c,0,330,0,2,7722,16293,0,0,0,20415,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/core//gvrender_core_json.c
132b86dc_lib_common__colxlate.c,0,134,0,2,3682,7828,0,0,0,10666,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/common//colxlate.c
